Country,Name,Surname
AUT,Stephan,Embacher
AUT,Jan,Hoerl
AUT,Stefan,Kraft
AUT,Daniel,Tschofenig
BUL,Vladimir,Zografski
CHN,Song,Qiwu
CZE,Roman,Koudelka
EST,Kaimar,Vagul
EST,Artti,Aigro
FIN,Antti,Aalto
FIN,Niko,Kytosaho
FIN,Vilho,Palosaari
FRA,Valentin,Foubert
FRA,Jules,Chervet
FRA,Enzo,Milesi
JPN,Ryoyu,Kobayashi
JPN,Naoki,Nakamura
JPN,Ren,Nikaido
CAN,Mackenzie,Boyd-Clowes
KAZ,Ilya,Miziernykh
KAZ,Danil,Wasiljew
GER,Felix,Hoffmann
GER,Pius,Paschke
GER,Philipp,Raimund
GER,Andreas,Wellinger
NOR,Johann Andre,Forfang
NOR,Marius,Lindvik
NOR,Kristoffer Eriksen,Sundal
POL,Kamil,Stoch
POL,Kacper,Tomasiak
POL,Paweł,Wąsek
ROU,Daniel Andrei,Cacina
ROU,Mihnea Alexandru,Spulber
SVK,Hektor,Kapustik
SLO,Domen,Prevc
SLO,Anze,Lanisek
SLO,Timi,Zajc
SUI,Gregor,Deschwanden
SUI,Sandro,Hauswirth
SUI,Felix,Trunz
TUR,Fatih Arda,Ipcioglu
TUR,Muhammed Ali,Bedir
UKR,Vitaliy,Kalinichenko
UKR,Yevhen,Marusiak
USA,Kevin,Bickner
USA,Jason,Colby
USA,Tate,Frantz
ITA,Giovanni,Bresadola
ITA,Francesco,Cecon
ITA,Alex,Insam
