Position,Country,Name,Surname,Points
1,SLO,Domen,Prevc,1614
2,JPN,Ryoyu,Kobayashi,989
3,JPN,Ren,Nikaido,921
4,SLO,Anze,Lanisek,767
5,AUT,Daniel,Tschofenig,745
6,GER,Philipp,Raimund,743
7,AUT,Jan,Hoerl,720
8,GER,Felix,Hoffmann,652
9,AUT,Stephan,Embacher,615
10,AUT,Stefan,Kraft,511
11,AUT,Manuel,Fettner,471
12,NOR,Kristoffer Eriksen,Sundal,375
13,BUL,Vladimir,Zografski,344
14,POL,Kacper,Tomasiak,342
15,NOR,Marius,Lindvik,322
16,JPN,Naoki,Nakamura,315
17,NOR,Johann Andre,Forfang,294
18,FRA,Valentin,Foubert,285
19,AUT,Jonas,Schuster,253
20,NOR,Halvor Egner,Granerud,226
21,SLO,Timi,Zajc,215
22,AUT,Maximilian,Ortner,192
23,GER,Pius,Paschke,181
24,SUI,Gregor,Deschwanden,153
25,POL,Kamil,Stoch,148
26,USA,Jason,Colby,147
27,FIN,Niko,Kytosaho,145
28,GER,Andreas,Wellinger,129
29,POL,Piotr,Zyla,125
30,JPN,Tomofumi,Naito,121
31,JPN,Yukiya,Sato,117
32,FIN,Antti,Aalto,114
33,GER,Karl,Geiger,104
34,NOR,Benjamin,Oestvold,88
35,EST,Artti,Aigro,80
36,POL,Maciej,Kot,76
37,SUI,Sandro,Hauswirth,72
38,SLO,Rok,Oblak,69
39,POL,Dawid,Kubacki,54
39,POL,Pawel,Wasek,54
41,USA,Kevin,Bickner,53
42,AUT,Clemens,Aigner,48
43,JPN,Sakutaro,Kobayashi,40
44,CZE,Roman,Koudelka,38
45,SUI,Simon,Ammann,31
45,KAZ,Ilja,Miziernych,31
47,ITA,Alex,Insam,28
47,UKR,Danil,Wasiljew,28
47,NOR,Isak Andreas,Langmo,28
50,SUI,Felix,Trunz,19
51,NOR,Robin,Pedersen,16
52,ITA,Giovanni,Bresadola,15
53,SLO,Ziga,Jancar,12
54,SVK,Hektor,Kapustik,11
55,GER,Luca,Roth,10
55,AUT,Markus,Mueller,10
57,USA,Tate,Frantz,9
57,SUI,Juri,Kesseli,9
57,UKR,Jewhen,Marusiak,9
57,FIN,Eetu,Nousiainen,9
61,FIN,Jarkko,Maatta,7
62,USA,Andrew,Urlaub,5
62,SUI,Yanick,Wasser,5
64,SUI,Killian,Peier,4
64,JPN,Junshiro,Kobayashi,4
66,POL,Aleksander,Zniszczol,3
67,UKR,Witalij,Kalinichenko,2
67,POL,Klemens,Joniak,2
69,CAN,Mackenzie,Boyd-Clowes,1
69,SLO,Zak,Mogel,1
69,JPN,Keiichi,Sato,1
69,NOR,Soelve Jokerud,Strand,1
