Country,Name,Surname
AUT,Lisa,Eder
AUT,Julia,Muehlbacher
AUT,Meghann,Wadsak
AUT,Lisa,Hirner
CHN,Bing,Dong
CHN,Qi,Liu
CHN,Yangning,Weng
CHN,Ping,Zeng
CZE,Anezka,Indrackova
CZE,Klara,Ulrichova
CZE,Veronika,Jencova
FIN,Heta,Hirvonen
FIN,Minja,Korhonen
FIN,Sofia,Mattila
FIN,Jenny,Rautionaho
FRA,Emma,Chervet
FRA,Josephine,Pagnier
JPN,Nozomi,Maruyama
JPN,Yuki,Ito
JPN,Yuka,Seto
JPN,Sara,Takanashi
CAN,Natalie,Eilers
CAN,Nicole,Maurer
CAN,Abigail,Strate
GER,Selina,Freitag
GER,Agnes,Reisch
GER,Katharina,Schmid
GER,Juliane,Seyfarth
NOR,Anna,Odine Stroem
NOR,Heidi,Dyhre Traaserud
NOR,Eirin,Maria Kvandal
NOR,Silje,Opseth
POL,Pola,Beltowska
POL,Anna,Twardosz
ROU,Delia Anamaria,Folea
ROU,Daniela Vasilica,Toth
SVK,Kira Maria,Kapustikova
SLO,Nika,Prevc
SLO,Katra,Komar
SLO,Maja,Kovacic
SLO,Nika,Vodan
SUI,Sina,Arnet
SWE,Frida,Westman
USA,Annika,Belshaw
USA,Josie,Johnson
USA,Paige,Jones
ITA,Martina,Ambrosi
ITA,Jessica,Malsiner
ITA,Annika,Sieff
ITA,Martina,Zanitzer
