Position,Country,Name,Surname,Points
1,SLO,Nika,Prevc,1936
2,JPN,Nozomi,Maruyama,1450
3,AUT,Lisa,Eder,1133
4,NOR,Anna Odine,Stroem,1053
5,GER,Selina,Freitag,981
6,CAN,Abigail,Strate,913
7,GER,Agnes,Reisch,809
8,GER,Katharina,Schmid,696
9,JPN,Sara,Takanashi,695
10,SLO,Nika,Vodan,638
11,NOR,Heidi Dyhre,Traaserud,594
12,NOR,Eirin Maria,Kvandal,528
13,AUT,Julia,Muehlbacher,473
14,JPN,Yuka,Seto,455
15,CHN,Ping,Zeng,434
16,JPN,Yuki,Ito,331
17,JPN,Ringo,Miyajima,325
18,GER,Juliane,Seyfarth,323
19,NOR,Silje,Opseth,303
20,ITA,Annika,Sieff,229
21,FIN,Jenny,Rautionaho,217
21,SWE,Frida,Westman,217
23,NOR,Gyda Westvold,Hansen,207
24,POL,Anna,Twardosz,178
25,FRA,Josephine,Pagnier,148
26,USA,Annika,Belshaw,146
27,USA,Josie,Johnson,140
28,SLO,Katra,Komar,122
29,USA,Paige,Jones,118
30,NOR,Ingvild Synnoeve,Midtskogen,116
31,SUI,Sina,Arnet,107
32,CZE,Anezka,Indrackova,105
33,SLO,Maja,Kovacic,91
34,JPN,Yuzuki,Sato,89
34,CZE,Klara,Ulrichova,89
36,CHN,Bing,Dong,81
37,JPN,Kurumi,Ichinohe,75
38,GER,Anna,Hollandt,72
39,FIN,Heta,Hirvonen,68
40,CAN,Nicole,Maurer,67
41,CHN,Qi,Liu,58
42,ITA,Martina,Zanitzer,56
43,FIN,Minja,Korhonen,50
44,FIN,Julia,Kykkänen,44
45,ROU,Daniela Vasilica,Toth,41
46,SLO,Jerica,Jesenko,31
47,SLO,Taja,Terbovsek,28
48,FIN,Sofia,Mattila,23
49,GER,Emely,Torazza,22
50,SVK,Kira Maria,Kapustikova,21
51,POL,Pola,Beltowska,19
51,CHN,Shiyu,Zhou,19
51,CHN,Liangyao,Wang,19
54,AUT,Meghann,Wadsak,11
55,CHN,Yangning,Weng,9
55,JPN,Yu,Saito,9
57,FIN,Julia,Aikia,7
58,USA,Sandra,Sproch,5
58,GER,Julina,Kreibich,5
58,FIN,Oosa,Thure,5
58,JPN,Nagomi,Nakayama,5
62,AUT,Hannah,Wiegele,4
63,UKR,Karina,Kozlowa,3
64,SLO,Tinkara,Komar,2
65,FRA,Emma,Chervet,1
65,AUT,Lisa,Hirner,1
